char_id,job,star,charName,infoLink
44,warrior,6,煌,https://www.diopoo.com/ark/character/721245
45,sniper,5,灰喉,https://www.diopoo.com/ark/character/721244
46,sniper,4,安比爾,https://www.diopoo.com/ark/character/721243
47,pioneer,5,葦草,https://www.diopoo.com/ark/character/721017
48,warrior,5,布洛卡,https://www.diopoo.com/ark/character/721016
49,caster,6,莫斯提馬,https://www.diopoo.com/ark/character/716370
50,special,5,槐琥,https://www.diopoo.com/ark/character/716369
51,tank,5,拜鬆,https://www.diopoo.com/ark/character/716368
52,sniper,4,梅,https://www.diopoo.com/ark/character/716367
53,special,4,伊桑,https://www.diopoo.com/ark/character/709330
54,medic,5,微風,https://www.diopoo.com/ark/character/709329
55,support,6,麥哲倫,https://www.diopoo.com/ark/character/706717
56,sniper,5,送葬人,https://www.diopoo.com/ark/character/706716
57,warrior,5,炎客,https://www.diopoo.com/ark/character/706715
58,sniper,4,紅雲,https://www.diopoo.com/ark/character/706714
59,tank,4,堅雷,https://www.diopoo.com/ark/character/706713
60,warrior,6,赫拉格,https://www.diopoo.com/ark/character/705171
61,warrior,5,星極,https://www.diopoo.com/ark/character/705170
62,pioneer,4,桃金娘,https://www.diopoo.com/ark/character/705169
63,medic,4,蘇蘇洛,https://www.diopoo.com/ark/character/705149
64,support,5,格勞克斯,https://www.diopoo.com/ark/character/705148
65,medic,5,錫蘭,https://www.diopoo.com/ark/character/705147
66,sniper,6,黑,https://www.diopoo.com/ark/character/705146
67,warrior,6,陳,https://www.diopoo.com/ark/character/693231
68,warrior,5,詩懷雅,https://www.diopoo.com/ark/character/693230
69,caster,4,格雷伊,https://www.diopoo.com/ark/character/693229
70,tank,3,斑點,https://www.diopoo.com/ark/character/693228
71,warrior,3,泡普卡,https://www.diopoo.com/ark/character/693227
72,tank,6,塞雷婭,https://www.diopoo.com/ark/character/692700
73,tank,6,星熊,https://www.diopoo.com/ark/character/692688
74,tank,5,火神,https://www.diopoo.com/ark/character/692687
75,tank,5,可頌,https://www.diopoo.com/ark/character/692686
76,tank,5,臨光,https://www.diopoo.com/ark/character/692685
77,tank,5,雷蛇,https://www.diopoo.com/ark/character/692684
78,tank,4,蛇屠箱,https://www.diopoo.com/ark/character/692683
79,tank,4,角峰,https://www.diopoo.com/ark/character/692682
80,tank,4,古米,https://www.diopoo.com/ark/character/692681
81,tank,3,米格魯,https://www.diopoo.com/ark/character/692680
82,tank,3,卡緹,https://www.diopoo.com/ark/character/692679
83,tank,2,黑角,https://www.diopoo.com/ark/character/692678
84,medic,6,夜鶯,https://www.diopoo.com/ark/character/692677
85,medic,6,閃靈,https://www.diopoo.com/ark/character/692676
86,medic,5,華法琳,https://www.diopoo.com/ark/character/692675
87,medic,5,白麵鴞,https://www.diopoo.com/ark/character/692674
88,medic,5,赫默,https://www.diopoo.com/ark/character/692673
89,medic,4,嘉維爾,https://www.diopoo.com/ark/character/692672
90,medic,4,調香師,https://www.diopoo.com/ark/character/692671
91,medic,4,末藥,https://www.diopoo.com/ark/character/692670
92,medic,3,安賽爾,https://www.diopoo.com/ark/character/692669
93,medic,3,芙蓉,https://www.diopoo.com/ark/character/692668
94,medic,1,Lancet-2,https://www.diopoo.com/ark/character/692667
95,pioneer,5,格拉尼,https://www.diopoo.com/ark/character/692666
96,pioneer,5,德克薩斯,https://www.diopoo.com/ark/character/692665
97,pioneer,5,凜冬,https://www.diopoo.com/ark/character/692664
98,pioneer,4,紅豆,https://www.diopoo.com/ark/character/692663
99,pioneer,4,訊使,https://www.diopoo.com/ark/character/692662
100,pioneer,4,清道夫,https://www.diopoo.com/ark/character/692661
101,pioneer,3,芬,https://www.diopoo.com/ark/character/692660
102,pioneer,3,翎羽,https://www.diopoo.com/ark/character/692659
103,pioneer,3,香草,https://www.diopoo.com/ark/character/692658
104,pioneer,2,夜刀,https://www.diopoo.com/ark/character/692657
105,caster,6,伊芙利特,https://www.diopoo.com/ark/character/692656
106,caster,6,艾雅法拉,https://www.diopoo.com/ark/character/692655
107,caster,5,阿米婭,https://www.diopoo.com/ark/character/692654
108,caster,5,夜魔,https://www.diopoo.com/ark/character/692653
109,caster,5,天火,https://www.diopoo.com/ark/character/692652
110,caster,4,遠山,https://www.diopoo.com/ark/character/692651
111,caster,4,夜煙,https://www.diopoo.com/ark/character/692650
112,caster,3,炎熔,https://www.diopoo.com/ark/character/692649
113,caster,3,史都華德,https://www.diopoo.com/ark/character/692648
114,caster,2,12F,https://www.diopoo.com/ark/character/692647
115,sniper,5,藍毒,https://www.diopoo.com/ark/character/692646
116,sniper,5,守林人,https://www.diopoo.com/ark/character/692645
117,sniper,5,白金,https://www.diopoo.com/ark/character/692644
118,sniper,5,普羅旺斯,https://www.diopoo.com/ark/character/692643
119,sniper,5,隕星,https://www.diopoo.com/ark/character/692642
120,sniper,4,傑西卡,https://www.diopoo.com/ark/character/692641
121,sniper,4,流星,https://www.diopoo.com/ark/character/692640
122,sniper,4,白雪,https://www.diopoo.com/ark/character/692639
123,sniper,3,空爆,https://www.diopoo.com/ark/character/692638
124,sniper,3,安德切爾,https://www.diopoo.com/ark/character/692637
125,sniper,3,克洛絲,https://www.diopoo.com/ark/character/692636
126,sniper,2,巡林者,https://www.diopoo.com/ark/character/692635
127,warrior,6,斯卡蒂,https://www.diopoo.com/ark/character/692634
128,warrior,4,獵蜂,https://www.diopoo.com/ark/character/692633
129,warrior,4,慕斯,https://www.diopoo.com/ark/character/692632
130,warrior,4,艾絲黛爾,https://www.diopoo.com/ark/character/692631
131,warrior,4,霜葉,https://www.diopoo.com/ark/character/692630
132,warrior,4,纏丸,https://www.diopoo.com/ark/character/692629
133,warrior,4,杜賓,https://www.diopoo.com/ark/character/692628
134,warrior,3,玫蘭莎,https://www.diopoo.com/ark/character/692627
135,warrior,3,月見夜,https://www.diopoo.com/ark/character/692626
136,warrior,1,Castle-3,https://www.diopoo.com/ark/character/692625
137,warrior,5,暴行,https://www.diopoo.com/ark/character/692491
138,warrior,5,幽靈鯊,https://www.diopoo.com/ark/character/692490
139,warrior,5,拉普蘭德,https://www.diopoo.com/ark/character/692489
140,warrior,5,因陀羅,https://www.diopoo.com/ark/character/692488
141,warrior,5,芙蘭卡,https://www.diopoo.com/ark/character/692487
142,support,3,梓蘭,https://www.diopoo.com/ark/character/692486
143,support,4,深海色,https://www.diopoo.com/ark/character/692485
144,support,4,地靈,https://www.diopoo.com/ark/character/692484
145,support,5,初雪,https://www.diopoo.com/ark/character/692483
146,support,5,真理,https://www.diopoo.com/ark/character/692482
147,support,5,空,https://www.diopoo.com/ark/character/692481
148,support,5,梅爾,https://www.diopoo.com/ark/character/692480
149,pioneer,6,推進之王,https://www.diopoo.com/ark/character/692479
150,special,4,阿消,https://www.diopoo.com/ark/character/692478
151,special,4,暗索,https://www.diopoo.com/ark/character/692477
152,special,4,礫,https://www.diopoo.com/ark/character/692476
153,special,5,食鐵獸,https://www.diopoo.com/ark/character/692475
154,special,5,獅蠍,https://www.diopoo.com/ark/character/692474
155,special,5,崖心,https://www.diopoo.com/ark/character/692473
156,special,5,紅,https://www.diopoo.com/ark/character/692472
157,caster,2,杜林,https://www.diopoo.com/ark/character/692471
158,sniper,6,能天使,https://www.diopoo.com/ark/character/692470
159,warrior,6,銀灰,https://www.diopoo.com/ark/character/692469
160,support,6,安潔莉娜,https://www.diopoo.com/ark/character/692468
